Year,Period,Week Ending,State,State ANSI,Watershed,Data Item,Value,CV (%)
2017,JAN THRU MAR,NA,ALABAMA,1,NA,ADDED & REPLACED,570,NA
2017,JAN THRU MAR,NA,ARIZONA,4,NA,ADDED & REPLACED,2900,NA
2017,JAN THRU MAR,NA,ARKANSAS,5,NA,ADDED & REPLACED,430,NA
2017,JAN THRU MAR,NA,CALIFORNIA,6,NA,ADDED & REPLACED,215000,NA
2017,JAN THRU MAR,NA,COLORADO,8,NA,ADDED & REPLACED,100,NA
2017,JAN THRU MAR,NA,CONNECTICUT,9,NA,ADDED & REPLACED,100,NA
2017,JAN THRU MAR,NA,FLORIDA,12,NA,ADDED & REPLACED,80000,NA
2017,JAN THRU MAR,NA,GEORGIA,13,NA,ADDED & REPLACED,36000,NA
2017,JAN THRU MAR,NA,HAWAII,15,NA,ADDED & REPLACED,510,NA
2017,JAN THRU MAR,NA,IDAHO,16,NA,ADDED & REPLACED,2000,NA
2017,JAN THRU MAR,NA,ILLINOIS,17,NA,ADDED & REPLACED,3100,NA
2017,JAN THRU MAR,NA,INDIANA,18,NA,ADDED & REPLACED,1700,NA
2017,JAN THRU MAR,NA,IOWA,19,NA,ADDED & REPLACED,70,NA
2017,JAN THRU MAR,NA,KANSAS,20,NA,ADDED & REPLACED,930,NA
2017,JAN THRU MAR,NA,KENTUCKY,21,NA,ADDED & REPLACED,950,NA
2017,JAN THRU MAR,NA,LOUISIANA,22,NA,ADDED & REPLACED,11000,NA
2017,JAN THRU MAR,NA,MAINE,23,NA,ADDED & REPLACED,100,NA
2017,JAN THRU MAR,NA,MARYLAND,24,NA,ADDED & REPLACED,770,NA
2017,JAN THRU MAR,NA,MASSACHUSETTS,25,NA,ADDED & REPLACED,120,NA
2017,JAN THRU MAR,NA,MICHIGAN,26,NA,ADDED & REPLACED,600,NA
2017,JAN THRU MAR,NA,MINNESOTA,27,NA,ADDED & REPLACED,3300,NA
2017,JAN THRU MAR,NA,MISSISSIPPI,28,NA,ADDED & REPLACED,23000,NA
2017,JAN THRU MAR,NA,MISSOURI,29,NA,ADDED & REPLACED,400,NA
